,ctx-lh-callosA,ctx-lh-callosB,ctx-lh-callosC,ctx-lh-callosD,ctx-lh-froB,ctx-lh-froC,ctx-lh-froD,ctx-lh-froinf,ctx-lh-froint,ctx-lh-frointB,ctx-lh-froorb,ctx-lh-froprefro,ctx-lh-frosup,ctx-lh-frosupant,ctx-lh-insinf,ctx-lh-inspostc,ctx-lh-insprec,ctx-lh-occpar,ctx-lh-occparastr,ctx-lh-occperistr,ctx-lh-occstr,ctx-lh-occtemp,ctx-lh-paradent,ctx-lh-paraspl,ctx-lh-parinfA,ctx-lh-parinfB,ctx-lh-parinfC,ctx-lh-vis-sen-bnd,ctx-lh-parsupA,ctx-lh-parsupB,ctx-lh-postcentA,ctx-lh-postcentB,ctx-lh-precentA,ctx-lh-precentB,ctx-lh-pyriform,ctx-lh-tempinf,ctx-lh-tempmed,ctx-lh-temppara,ctx-lh-temppole,ctx-lh-tempsup,ctx-lh-froA,ctx-lh-tempHeschl,ctx-lh-vis-aud-bnd,ctx-lh-parolfact,ctx-rh-callosA,ctx-rh-callosB,ctx-rh-callosC,ctx-rh-callosD,ctx-rh-froB,ctx-rh-froC,ctx-rh-froD,ctx-rh-froinf,ctx-rh-froint,ctx-rh-frointB,ctx-rh-froorb,ctx-rh-froprefro,ctx-rh-frosup,ctx-rh-frosupant,ctx-rh-insinf,ctx-rh-inspostc,ctx-rh-insprec,ctx-rh-occpar,ctx-rh-occparastr,ctx-rh-occperistr,ctx-rh-occstr,ctx-rh-occtemp,ctx-rh-paradent,ctx-rh-paraspl,ctx-rh-parinfA,ctx-rh-parinfB,ctx-rh-parinfC,ctx-rh-vis-sen-bnd,ctx-rh-parsupA,ctx-rh-parsupB,ctx-rh-postcentA,ctx-rh-postcentB,ctx-rh-precentA,ctx-rh-precentB,ctx-rh-pyriform,ctx-rh-tempinf,ctx-rh-tempmed,ctx-rh-temppara,ctx-rh-temppole,ctx-rh-tempsup,ctx-rh-froA,ctx-rh-tempHeschl,ctx-rh-vis-aud-bnd,ctx-rh-parolfact
ctx-lh-callosA,,-0.108,-0.118,-0.094,0.066,0.033,-0.093,0.018,0.092,0.045,-0.012,-0.1,-0.006,-0.081,-0.021,-0.005,0.007,0.105,0.134,0.198,0.104,0.223,0.009,-0.086,-0.002,0.008,0.059,0.139,-0.009,0.037,0.02,0.078,0.048,0.042,-0.042,0.024,-0.025,0.175,-0.117,0.117,-0.134,0.062,-0.009,-0.05,-0.144,-0.009,-0.116,-0.07,-0.041,0.025,-0.153,-0.078,-0.021,-0.052,-0.072,-0.104,-0.08,-0.212,0.003,0.021,-0.006,0.131,0.123,0.187,0.11,0.179,0.042,-0.198,-0.127,0.072,0.041,0.177,-0.009,0.036,0.027,0.089,0.05,0.061,0.002,-0.046,-0.206,0.128,-0.133,0.025,-0.224,0.038,-0.107,-0.065
ctx-lh-callosB,,,-0.072,-0.074,0.036,0.033,-0.075,0.043,0.064,0.063,-0.006,-0.077,0.024,0.002,-0.064,-0.047,-0.008,0.059,0.044,0.114,0.009,0.09,-0.074,-0.027,-0.001,-0.027,-0.032,0.033,0.028,0.05,0.07,0.036,0.058,0.055,-0.091,-0.124,-0.003,-0.009,-0.037,0.042,-0.059,-0.032,0.058,-0.041,-0.123,0.024,-0.074,-0.028,-0.017,-0.013,-0.075,-0.107,0.001,-0.068,-0.036,-0.108,0.011,-0.012,0.003,0.022,-0.013,0.085,0.034,0.114,0.041,0.137,-0.055,-0.05,-0.008,-0.028,0.034,0.083,0.022,0.032,0.131,0.144,0.08,0.097,-0.089,-0.055,-0.026,0.032,-0.093,-0.004,-0.046,-0.025,0.024,-0.059
ctx-lh-callosC,,,,-0.045,0.065,0.07,-0.088,0.116,0.125,0.058,0.02,-0.094,0.104,-0.001,-0.014,0.026,0.039,0.051,0.015,0.035,-0.073,0.053,-0.073,-0.094,-0.028,0.012,0.046,0.057,-0.082,0.081,0.031,0.062,0.074,0.114,-0.07,0.071,0.038,0.101,-0.03,0.08,-0.005,0.008,0.037,0.013,-0.124,-0.021,-0.037,-0.083,0.006,0.032,-0.102,0.027,0.05,0.038,-0.013,-0.074,0.066,-0.04,0.048,0.03,0.027,0.042,-0.02,0.066,-0.07,0.071,-0.053,-0.139,-0.09,0.035,0.039,0.073,-0.075,0.03,0.012,0.077,0.066,0.104,-0.093,-0.003,-0.041,0.068,-0.077,0.097,-0.054,-0.031,-0.013,-0.041
ctx-lh-callosD,,,,,0.095,0.059,-0.068,0.12,0.082,0.11,0.006,-0.072,-0.022,-0.05,0.045,0.007,0.085,0.098,-0.001,0.033,-0.003,-0.044,-0.042,-0.127,-0.09,-0.008,0.035,0.137,-0.126,-0.024,-0.09,-0.037,-0.011,0.042,0.014,0.046,-0.075,0.058,-0.076,-0.028,-0.087,-0.033,-0.068,0.008,-0.035,-0.033,-0.052,-0.046,0.119,0.088,-0.045,0.15,0.138,0.107,0.103,-0.031,0.016,-0.057,0.025,0.014,0.124,0.054,0.012,0.019,0.018,-0.024,-0.026,-0.154,-0.026,0.086,0.037,0.112,-0.048,-0.022,-0.075,-0.07,-0.035,0.022,-0.115,-0.014,-0.115,0.056,-0.089,0.02,-0.093,-0.057,0.015,-0.037
ctx-lh-froB,,,,,,-0.021,0.117,-0.021,0.056,0.005,0.002,0.02,0.056,0.104,0.022,0.069,0.063,0.037,0.054,-0.0,-0.017,0.058,-0.012,0.023,0.061,0.009,-0.022,-0.006,0.161,0.007,0.047,-0.005,0.003,0.006,-0.071,-0.117,-0.061,-0.001,-0.057,0.017,0.11,0.067,0.013,0.005,0.019,-0.002,0.109,-0.011,-0.017,-0.037,0.143,-0.074,-0.054,-0.002,-0.017,0.024,-0.045,0.012,0.023,0.041,0.012,0.004,0.069,0.029,-0.034,0.006,-0.002,-0.011,-0.027,-0.002,-0.022,-0.015,0.094,0.018,0.049,0.029,-0.014,-0.014,-0.055,-0.074,-0.076,-0.057,-0.062,0.018,0.01,0.036,-0.043,-0.026
ctx-lh-froC,,,,,,,0.079,0.034,0.017,-0.011,-0.052,0.046,0.035,0.012,0.037,0.112,0.092,0.04,0.007,-0.073,-0.029,-0.037,0.062,0.1,0.037,-0.067,0.001,-0.011,0.067,-0.057,-0.014,-0.031,-0.004,0.029,-0.05,-0.111,-0.066,-0.003,-0.056,-0.005,0.058,0.044,0.021,0.034,0.044,0.011,0.075,-0.0,-0.021,-0.011,0.071,0.064,0.014,0.061,-0.037,0.02,-0.017,-0.001,-0.014,0.064,0.04,-0.005,0.038,-0.082,-0.053,-0.095,0.113,0.121,0.024,-0.015,0.023,0.006,0.092,-0.052,-0.011,-0.044,-0.028,0.018,-0.035,-0.041,-0.069,-0.019,-0.074,0.016,-0.0,0.044,0.01,0.031
ctx-lh-froD,,,,,,,,0.069,0.081,0.074,0.032,-0.061,0.08,-0.011,-0.044,0.006,0.022,0.068,0.106,0.076,-0.014,0.072,-0.069,-0.114,-0.038,-0.008,0.047,0.068,0.005,0.081,0.086,0.071,0.114,0.122,-0.044,-0.021,-0.007,0.042,-0.049,0.127,0.005,0.051,0.003,-0.001,-0.142,-0.047,-0.021,-0.051,0.061,0.033,-0.061,-0.04,0.014,-0.016,-0.016,-0.036,0.019,-0.083,0.023,0.014,-0.034,0.051,0.057,0.104,0.001,0.059,-0.069,-0.165,-0.124,0.006,0.041,0.097,-0.014,0.089,0.074,0.118,0.126,0.09,-0.077,-0.068,-0.084,-0.001,-0.08,0.069,-0.055,0.017,-0.059,-0.017
ctx-lh-froinf,,,,,,,,,-0.059,-0.054,-0.08,0.081,-0.014,0.007,0.067,0.058,0.0,0.014,-0.054,-0.024,-0.061,0.036,0.025,0.062,-0.028,-0.148,-0.028,-0.073,0.008,-0.008,0.033,-0.025,0.017,-0.016,-0.03,-0.108,-0.087,-0.003,0.005,-0.015,0.073,0.004,-0.056,0.101,0.04,0.021,0.068,0.045,0.004,0.022,0.015,-0.037,-0.02,-0.031,-0.012,0.089,0.001,0.012,0.057,0.048,0.005,0.004,-0.032,-0.007,-0.06,0.022,0.029,0.057,-0.002,-0.004,0.024,-0.042,0.031,-0.019,0.014,0.006,-0.01,-0.017,-0.032,-0.026,-0.076,0.014,-0.003,0.019,0.043,-0.0,0.017,0.024
ctx-lh-froint,,,,,,,,,,-0.015,-0.009,0.069,-0.039,0.105,0.045,0.027,-0.026,0.05,0.021,0.059,-0.014,0.075,-0.055,0.063,-0.027,-0.033,-0.011,-0.062,0.017,-0.02,-0.024,-0.026,-0.049,-0.052,-0.025,-0.088,-0.059,0.012,0.022,-0.019,0.126,-0.0,-0.035,0.033,0.055,0.012,0.097,0.002,0.014,0.024,0.058,-0.047,-0.078,-0.069,0.022,0.074,-0.05,0.034,0.022,-0.013,-0.034,0.064,0.001,0.05,0.007,0.067,-0.026,0.032,-0.023,0.029,0.004,-0.052,-0.026,-0.024,-0.068,-0.009,-0.053,-0.068,0.04,-0.055,-0.045,-0.007,0.024,-0.006,0.077,-0.009,0.023,0.005
ctx-lh-frointB,,,,,,,,,,,-0.048,0.067,0.05,0.021,0.064,0.017,-0.036,-0.0,0.011,0.012,-0.076,0.068,0.039,0.036,-0.027,-0.101,-0.004,-0.035,0.082,0.052,0.103,0.062,0.077,0.04,-0.051,-0.072,-0.099,-0.024,0.007,-0.012,0.066,0.073,-0.088,0.047,0.004,0.022,0.054,0.024,-0.009,-0.014,-0.001,-0.136,-0.03,-0.099,-0.072,0.07,0.017,-0.014,0.019,0.057,-0.037,-0.03,-0.022,0.03,-0.042,0.036,0.024,0.015,-0.046,-0.038,0.039,-0.013,0.03,0.041,0.057,0.086,0.049,0.044,0.007,-0.001,-0.081,-0.03,-0.016,0.025,0.035,0.032,-0.042,0.01
