# File generated on 2024-06-04 22:38:03
# Number of participants: 35
# Number of patients (ptsd): 23
# Number of controls: 12
# 2 datasets were included:
# - HBN
# - NKI-Enhanced-all_parts
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, DVARS, FD, intercept).
x,ctx-lh-bankssts_1,ctx-lh-bankssts_2,ctx-lh-caudalanteriorcingulate_1,ctx-lh-caudalmiddlefrontal_1,ctx-lh-caudalmiddlefrontal_2,ctx-lh-caudalmiddlefrontal_3,ctx-lh-cuneus_1,ctx-lh-entorhinal_1,ctx-lh-fusiform_1,ctx-lh-fusiform_2,ctx-lh-fusiform_3,ctx-lh-fusiform_4,ctx-lh-inferiorparietal_1,ctx-lh-inferiorparietal_2,ctx-lh-inferiorparietal_3,ctx-lh-inferiorparietal_4,ctx-lh-inferiorparietal_5,ctx-lh-inferiortemporal_1,ctx-lh-inferiortemporal_2,ctx-lh-inferiortemporal_3,ctx-lh-inferiortemporal_4,ctx-lh-isthmuscingulate_1,ctx-lh-lateraloccipital_1,ctx-lh-lateraloccipital_2,ctx-lh-lateraloccipital_3,ctx-lh-lateraloccipital_4,ctx-lh-lateraloccipital_5,ctx-lh-lateralorbitofrontal_1,ctx-lh-lateralorbitofrontal_2,ctx-lh-lateralorbitofrontal_3,ctx-lh-lateralorbitofrontal_4,ctx-lh-lingual_1,ctx-lh-lingual_2,ctx-lh-lingual_3,ctx-lh-lingual_4,ctx-lh-medialorbitofrontal_1,ctx-lh-medialorbitofrontal_2,ctx-lh-middletemporal_1,ctx-lh-middletemporal_2,ctx-lh-middletemporal_3,ctx-lh-middletemporal_4,ctx-lh-parahippocampal_1,ctx-lh-paracentral_1,ctx-lh-paracentral_2,ctx-lh-parsopercularis_1,ctx-lh-parsopercularis_2,ctx-lh-parsorbitalis_1,ctx-lh-parstriangularis_1,ctx-lh-pericalcarine_1,ctx-lh-postcentral_1,ctx-lh-postcentral_2,ctx-lh-postcentral_3,ctx-lh-postcentral_4,ctx-lh-postcentral_5,ctx-lh-postcentral_6,ctx-lh-postcentral_7,ctx-lh-posteriorcingulate_1,ctx-lh-posteriorcingulate_2,ctx-lh-precentral_1,ctx-lh-precentral_2,ctx-lh-precentral_3,ctx-lh-precentral_4,ctx-lh-precentral_5,ctx-lh-precentral_6,ctx-lh-precentral_7,ctx-lh-precentral_8,ctx-lh-precuneus_1,ctx-lh-precuneus_2,ctx-lh-precuneus_3,ctx-lh-precuneus_4,ctx-lh-precuneus_5,ctx-lh-rostralanteriorcingulate_1,ctx-lh-rostralmiddlefrontal_1,ctx-lh-rostralmiddlefrontal_2,ctx-lh-rostralmiddlefrontal_3,ctx-lh-rostralmiddlefrontal_4,ctx-lh-rostralmiddlefrontal_5,ctx-lh-rostralmiddlefrontal_6,ctx-lh-superiorfrontal_1,ctx-lh-superiorfrontal_2,ctx-lh-superiorfrontal_3,ctx-lh-superiorfrontal_4,ctx-lh-superiorfrontal_5,ctx-lh-superiorfrontal_6,ctx-lh-superiorfrontal_7,ctx-lh-superiorfrontal_8,ctx-lh-superiorfrontal_9,ctx-lh-superiorparietal_1,ctx-lh-superiorparietal_2,ctx-lh-superiorparietal_3,ctx-lh-superiorparietal_4,ctx-lh-superiorparietal_5,ctx-lh-superiorparietal_6,ctx-lh-superiorparietal_7,ctx-lh-superiortemporal_1,ctx-lh-superiortemporal_2,ctx-lh-superiortemporal_3,ctx-lh-superiortemporal_4,ctx-lh-superiortemporal_5,ctx-lh-supramarginal_1,ctx-lh-supramarginal_2,ctx-lh-supramarginal_3,ctx-lh-supramarginal_4,ctx-lh-supramarginal_5,ctx-lh-frontalpole_1,ctx-lh-temporalpole_1,ctx-lh-transversetemporal_1,ctx-lh-insula_1,ctx-lh-insula_2,ctx-lh-insula_3,ctx-lh-insula_4,ctx-rh-bankssts_1,ctx-rh-caudalanteriorcingulate_1,ctx-rh-caudalmiddlefrontal_1,ctx-rh-caudalmiddlefrontal_2,ctx-rh-caudalmiddlefrontal_3,ctx-rh-cuneus_1,ctx-rh-cuneus_2,ctx-rh-entorhinal_1,ctx-rh-fusiform_1,ctx-rh-fusiform_2,ctx-rh-fusiform_3,ctx-rh-fusiform_4,ctx-rh-inferiorparietal_1,ctx-rh-inferiorparietal_2,ctx-rh-inferiorparietal_3,ctx-rh-inferiorparietal_4,ctx-rh-inferiorparietal_5,ctx-rh-inferiorparietal_6,ctx-rh-inferiortemporal_1,ctx-rh-inferiortemporal_2,ctx-rh-inferiortemporal_3,ctx-rh-inferiortemporal_4,ctx-rh-isthmuscingulate_1,ctx-rh-lateraloccipital_1,ctx-rh-lateraloccipital_2,ctx-rh-lateraloccipital_3,ctx-rh-lateraloccipital_4,ctx-rh-lateraloccipital_5,ctx-rh-lateralorbitofrontal_1,ctx-rh-lateralorbitofrontal_2,ctx-rh-lateralorbitofrontal_3,ctx-rh-lateralorbitofrontal_4,ctx-rh-lingual_1,ctx-rh-lingual_2,ctx-rh-lingual_3,ctx-rh-medialorbitofrontal_1,ctx-rh-medialorbitofrontal_2,ctx-rh-medialorbitofrontal_3,ctx-rh-middletemporal_1,ctx-rh-middletemporal_2,ctx-rh-middletemporal_3,ctx-rh-middletemporal_4,ctx-rh-parahippocampal_1,ctx-rh-paracentral_1,ctx-rh-paracentral_2,ctx-rh-paracentral_3,ctx-rh-parsopercularis_1,ctx-rh-parsopercularis_2,ctx-rh-parsorbitalis_1,ctx-rh-parstriangularis_1,ctx-rh-parstriangularis_2,ctx-rh-pericalcarine_1,ctx-rh-pericalcarine_2,ctx-rh-postcentral_1,ctx-rh-postcentral_2,ctx-rh-postcentral_3,ctx-rh-postcentral_4,ctx-rh-postcentral_5,ctx-rh-posteriorcingulate_1,ctx-rh-posteriorcingulate_2,ctx-rh-precentral_1,ctx-rh-precentral_2,ctx-rh-precentral_3,ctx-rh-precentral_4,ctx-rh-precentral_5,ctx-rh-precentral_6,ctx-rh-precuneus_1,ctx-rh-precuneus_2,ctx-rh-precuneus_3,ctx-rh-precuneus_4,ctx-rh-precuneus_5,ctx-rh-rostralanteriorcingulate_1,ctx-rh-rostralmiddlefrontal_1,ctx-rh-rostralmiddlefrontal_2,ctx-rh-rostralmiddlefrontal_3,ctx-rh-rostralmiddlefrontal_4,ctx-rh-rostralmiddlefrontal_5,ctx-rh-rostralmiddlefrontal_6,ctx-rh-superiorfrontal_1,ctx-rh-superiorfrontal_2,ctx-rh-superiorfrontal_3,ctx-rh-superiorfrontal_4,ctx-rh-superiorfrontal_5,ctx-rh-superiorfrontal_6,ctx-rh-superiorfrontal_7,ctx-rh-superiorfrontal_8,ctx-rh-superiorparietal_1,ctx-rh-superiorparietal_2,ctx-rh-superiorparietal_3,ctx-rh-superiorparietal_4,ctx-rh-superiorparietal_5,ctx-rh-superiorparietal_6,ctx-rh-superiorparietal_7,ctx-rh-superiortemporal_1,ctx-rh-superiortemporal_2,ctx-rh-superiortemporal_3,ctx-rh-superiortemporal_4,ctx-rh-superiortemporal_5,ctx-rh-supramarginal_1,ctx-rh-supramarginal_2,ctx-rh-supramarginal_3,ctx-rh-supramarginal_4,ctx-rh-frontalpole_1,ctx-rh-temporalpole_1,ctx-rh-transversetemporal_1,ctx-rh-insula_1,ctx-rh-insula_2,ctx-rh-insula_3
ctx-lh-bankssts_1, nan,-0.057218127332636426,-0.07202665617996196,-0.12864663965459064,-0.14427109806617106,-0.12213150215049122,-0.07696686964167272,-0.14910505085222273,-0.1567559674063583,-0.09662793474476603,-0.12239122214772195,-0.10791365241497333,-0.07540868106116216,-0.02932540648790812,-0.07320211954803453,-0.09749319582636248,-0.13144608137204336,-0.13644811843960342,-0.18499265151418615,-0.06641455458677883,-0.1834201700535477,-0.19122623484900866,-0.11879614649704158,-0.08017378990155764,-0.11640719289652128,-0.07276719899893999,-0.16873891667829652,-0.24861590431744768,-0.19869812570062662,-0.14731648265728,-0.14740736796753026,-0.14824399732529936,-0.18906121423125216,-0.10563758130086673,-0.14520708970185195,-0.15775923740794118,-0.15071237356626674,-0.1868426231227826,-0.06521562644390923,-0.12058879358803683,-0.17047117349527702,-0.19986515990198672,-0.1909140333926859,-0.19072764568202522,-0.1285084529922826,-0.09660316484366573,-0.13581549025343542,-0.12432872641587887,-0.1851243241098705,-0.12279332408263656,-0.0939235223292167,-0.20165426085372898,-0.18229213570529093,-0.26574527904643286,-0.14673591719376522,-0.2473252874578866,-0.18841278957213545,-0.18646885746459338,-0.1514315830711792,-0.17656100229065547,-0.16083136081197658,-0.1625818328336915,-0.11425774446829419,-0.1390636727981361,-0.33547303590189864,-0.16215299450493825,-0.09608776519142276,-0.0013130969561774629,-0.12080917609477382,-0.10017703292043785,-0.15388609016617794,-0.16839965630965878,-0.1147472642630798,-0.09178385340665224,-0.14254742744213733,-0.05839734057826982,-0.1408106226080053,-0.14252881496383737,-0.1571826415548299,-0.023002521454605695,-0.04923126197564552,-0.15066953246578704,-0.0991033701743397,-0.19652119452075406,-0.16340829158119344,-0.21938064421289388,-0.131574960203122,-0.08806713283527633,-0.17475135331952493,-0.17434537497417338,-0.027179762894341822,-0.10197003453130435,-0.07449799745086513,-0.09094987008304278,0.012758649441929882,0.03148115959308861,-0.09350779863498983,0.026884904842775583,-0.06518425529391966,-0.16123058070337828,-0.33701447960332315,-0.2800364516655969,-0.09752559938515773,-0.3117195137770623,-0.19813867790351655,-0.03841958292266018,-0.05502292019898838,-0.09271361673486221,-0.14732479665455378,-0.06891886651186384,-0.08343518533151752,-0.04343398841048576,-0.11459913613495135,-0.04592145527951739,-0.030167280371196765,-0.14711323631198478,-0.028988321786156672,0.006386082652639864,-0.07624908413355008,-0.12953829238527045,-0.02314423866824523,-0.023975033458707416,-0.07015324528200177,-0.1990260746157051,-0.18419403516318678,-0.09846405017519935,-0.05546131587212241,-0.053343596714215034,-0.016916739773601232,-0.0779214575820605,-0.14084229234615334,-0.1151933474505506,-0.0743776178377044,-0.16602124459697576,-0.08693216416882091,-0.0416518937899004,-0.10552534347714385,-0.08892683255483666,0.019714495654385704,-0.25948006909729154,-0.14332230222840284,-0.12272448164951891,-0.07649052133109509,-0.13913751443347755,-0.16895937536579003,-0.07971155846781162,-0.15051837059400136,-0.13109633620851416,-0.08309038638571119,-0.047508591181603256,-0.14928353076650466,-0.11940042951032083,-0.1283205493556333,-0.19203908986746554,-0.11351536719935502,-0.23523997901653776,-0.2293941337999643,-0.16857908633445756,-0.22306559679773008,-0.16648946501335077,-0.04972557804042652,-0.2647467171326214,-0.07655194785494494,-0.1234419625302516,-0.18942999412936687,-0.16857282195899195,-0.2360348007977897,-0.23674237161235784,-0.17229755092658564,-0.23166718594803526,-0.2129948134144536,-0.24841496006167718,-0.2558123732429108,-0.18580829319885447,-0.09204861284294726,-0.18340976891498667,-0.18836280117253001,-0.027816179992853553,-0.08463664431214706,-0.11645918701508369,-0.07400635203259415,-0.12378035050035756,-0.16471725986896377,-0.12486337205983421,-0.16089077932198906,-0.11145746153961616,-0.14518287664267104,-0.09036832270402584,-0.02868696476417441,-0.1568036531807765,-0.03550109975530032,-0.18233738787156156,-0.17661338407372257,-0.11569608921345025,-0.06460265762096469,-0.14207720153675552,0.023972178725441894,-0.22769557403041607,-0.1875672705260438,-0.12693536853388837,-0.1321861178018124,-0.11621441286324358,-0.03770876849134147,-0.03903936890556051,-0.09197203376089491,-0.10771382766174793,-0.11473545174528421,-0.07328134478623223,-0.11416288028077534,-0.23345802027428517,-0.19822644757066496,-0.34052245374371287,-0.27474012666865943,-0.14497708565926934,-0.04621830287129689,-0.09068636788974391,-0.25372073726816585,-0.1853371625287366,-0.21554128697604094
ctx-lh-bankssts_2, nan,nan,-0.06351273776368958,-0.03745271760770308,0.024344775961622808,-0.01486135575036606,-0.12383174906025865,-0.1891400694258864,-0.1331000731176131,-0.09747472122464251,-0.13456452054239218,-0.08360509835145616,-0.06576178578047154,-0.08984872579390946,-0.018119523309298495,-0.011889808948933482,-0.10403257114796247,-0.12307837320499757,-0.061269686060836666,-0.013315495554412563,-0.0646589241944524,-0.23207440593432402,-0.07881040038357802,-0.03304162071524287,-0.0794511854362894,-0.09128019277840016,-0.08743111688767087,-0.27360263627766623,-0.17892446334799247,-0.1123754746741888,-0.10678666439723947,-0.07137899833554044,-0.19395426607204796,-0.14824988205182196,-0.16479021698421903,-0.17100575877680593,-0.13752977815104972,-0.16544063293640776,0.006262435041573111,-0.12952719462670015,-0.20341677701390543,-0.1196889257980052,-0.22097369241758721,-0.15219265586461864,-0.039400316363145636,-0.06296579874612224,-0.11011680449272881,-0.046101125333382474,-0.12462041961098122,-0.1324226246479236,-0.08107126069207722,-0.09288488233225024,-0.13372268861548434,-0.14015014234053175,-0.10299369255482345,-0.2901644685562596,-0.20820301664226992,-0.15191605276592507,-0.1103729882109195,-0.1339300652707159,-0.0601587717846045,-0.11653906381068325,-0.018501183291245102,-0.13006844104751242,-0.18168007123796012,-0.22840371137262588,-0.03294199861058651,-0.0730095974617287,-0.03099845971612337,-0.11290804919934101,-0.20411358432034798,-0.17227395777052765,-0.0069904492720858765,-0.12718207167150208,-0.04065371384790202,-0.12946494409020035,-0.11077181913131795,-0.11023869909890523,-0.1802805347150314,-0.0837971349673246,-0.04504455631047227,-0.10200113323101673,-0.07994215070187953,-0.07002674750626417,-0.13377139288266848,-0.16241090643566872,-0.06594527193682265,-0.041278576131823896,-0.06315863725857662,-0.030031065587779997,-0.026015453873570134,-0.011714141950149524,0.006310659398619633,-0.0812670068119649,-0.22817606551449485,-0.14322511818776099,-0.14625927603258065,-0.1442631786980833,-0.19701797628840859,-0.28797490728298775,-0.24669771573993213,-0.22985109539883777,-0.0018811768009198366,-0.10063158436678733,-0.18263420526430918,-0.12914002647104408,-0.2216112954368919,-0.2061034364066926,-0.15609915608576078,-0.1421802440323622,-0.06773731639596063,-0.11216621159720369,-0.09956135975240175,0.07169444014396893,0.05361897445493739,-0.08636724581030233,-0.05963738800942781,-0.057161690118163064,-0.08524204931805346,-0.12134932400201555,-0.06611743134260546,0.017883311802317885,-0.12068191059948023,-0.09363098046871562,-0.16230392570687938,0.014473159447725011,-0.07791558018612896,-0.19543595238329323,-0.08776671679560379,-0.16789886583191138,-0.114096701178883,-0.08085683364907013,-0.06731831351038861,-0.20847203452529167,-0.09780488278961284,-0.04233296846877038,-0.03484911783481221,-0.09160535170440863,-0.07445613044862939,-0.24874956803263187,-0.20456565770794094,-0.11090847320110311,-0.07493878245291015,-0.13321923168156255,-0.1858502708311327,-0.1190027813587061,-0.16376843173960187,-0.12419448375570638,-0.10777744791666961,-0.08786671410654455,-0.14734504584349145,-0.11488663205003485,-0.183617984155624,-0.1470219907934981,-0.09165316629991198,-0.18253321346166823,-0.25797917398450054,-0.11068809298080604,-0.07376749400749141,-0.07529773894699614,-0.0162940217871639,-0.1767012484625621,-0.03755168433049611,-0.06788951692777055,-0.2141333544142657,-0.14973844578757323,-0.16170393308384812,-0.11230905915718734,-0.1508560208589682,-0.22884521663929647,-0.13790021868071442,-0.23003752762918378,-0.14439247861185758,-0.07332451178796351,-0.03119695392574987,-0.124971132293302,-0.14429355270793065,-0.11241562760698674,-0.1520545545851426,-0.14945680776345152,-0.01914805306164961,-0.09652943746958882,-0.17525785089941642,-0.08493824405851948,-0.06572871492196465,-0.021067914174753115,-0.11532244769146742,-0.1235824607304717,-0.008304589015183958,-0.23116022303167832,-0.10131141333857657,-0.10022284492399418,-0.13755587649750192,-0.05801003720824765,-0.02454115649886493,-0.11839076627432506,0.057354963991593906,-0.07145416851688398,-0.1283622106219368,0.002999106132225068,-0.026987566152282812,-0.05559125044094929,-0.018797889257907454,-0.08624118224013072,-0.24171064887590857,-0.16078962131745567,-0.22326542942585265,-0.19028253260246536,-0.23527617841338141,-0.058482495669325125,-0.0380071677115801,-0.1737137176971702,-0.26248258038263217,-0.01859270903069158,-0.14795896155231633,-0.17716414320492221,-0.22941868028513507,-0.16028216933293105,-0.1449133790446544
ctx-lh-caudalanteriorcingulate_1, nan,nan,nan,-0.036058567518895815,-0.049521576087747377,0.013937635820459458,-0.00338744890037794,-0.07173639028739834,-0.14381819908240423,-0.06883112592466305,-0.06350905005086459,-0.12006312181439864,0.03356151876350339,-0.049151919650272456,-0.03998417414030092,-0.011478304457487404,0.11471497819909116,-0.08167808591936661,-0.06154588272717093,-0.00434369430280412,0.018626414297268887,0.007821405708965685,-0.049687433732049105,-0.11923573005819571,-0.09479803280823207,-0.03946169449882698,-0.12273773997344266,0.06650826563527824,0.044045990780507055,0.027881061534408336,-0.06666038630851961,-0.08636029240398517,-0.10784392333865112,-0.056532030083118474,-0.05921053208752259,-0.14784598406786323,-0.1618120496578505,0.057569564605143765,0.046835637623432416,-0.02953742658804705,0.0016697024546221731,-0.03244609644045358,0.03378076640541565,-0.03533110193939265,-0.02145136181291122,0.0013207959715134667,0.025091247580374985,0.06523461702485694,-0.13879742045476492,0.017926664674057197,-0.0156517494832738,-0.1781972911831981,-0.12104315705878146,-0.15450177901234197,-0.09311205657712712,0.0020075658562869053,0.15697930723370565,0.213579304041431,-0.010090800613958678,-0.047936208693997624,-0.14424423101260297,-0.09395527293061239,-0.05313433916227929,-0.03950855437650243,-0.044874463072987515,0.06648508076020175,-0.009889392186264966,0.06150002379945658,0.02059952680142529,0.10186229104896455,-0.06519620896219272,0.12820424418009732,0.0026128055662501047,0.07146838264251895,0.11458052801639848,0.17609339294322005,0.14579712768024378,-0.038216265699801785,0.07676988999280804,0.06855258293825557,-0.12475206217971595,0.09056717296866999,0.07742670021395891,0.08915886726563009,0.06231450233329371,-0.024928864935264146,-0.045480338620059596,-0.041005350225637775,-0.012469295427958504,0.07640508645148592,0.06201421371421461,-0.002263943524110462,0.011817622742011862,-0.027770158454353745,-0.11507328962031588,-0.03440921352940773,-0.022910981998793486,-0.05331917448968416,-0.0905292608554384,0.06356050036088713,-0.0023372113492357034,0.03863178134374766,0.03463442861853697,-0.003748833358134399,-0.033428279184258024,0.08818527891632853,-0.026798277794033407,0.02626492378497171,0.04053849549425838,-0.0066209815452201205,0.06328702806674906,-0.2587449486321282,0.03078992785284527,-0.017050003577142866,-0.08502394678920862,0.07590962020885474,-0.07403938725792314,-0.0007526915270578294,0.04653240552656946,-0.12404737166850487,-0.08760208772684844,-0.19195068989747546,-0.19922612345629925,0.02079551029361684,-0.09981485706636267,0.003142978970510002,-0.0353939089045282,-0.1585635586660129,0.02169868121451938,-0.09643577706692347,-0.22595510216200757,-0.0026464858508483445,0.03318335362843893,0.0027208347843659547,-0.10170064181093032,0.024087912833698023,-0.09404086011552279,-0.11825108343673708,-0.015819076963968507,0.013008735050672116,0.08111697869649151,0.05695218206110278,0.033521207564173525,-0.08820525564410961,-0.09785801384768548,-0.11151830871761498,-0.05181217143654347,-0.09946547447119763,-0.0014400539057442142,-0.002832064326359945,-0.08442412430317277,-0.08135785834616378,-0.03569955498640377,-0.16411291579508405,-0.05704840150655252,0.012309608230269739,0.012747271916474697,-0.008036180140688515,-0.010648115723579857,-0.023041196995470945,0.06733291365005237,-0.04554847414636594,-0.06453645538919861,-0.14660592104337816,-0.06359160465356575,-0.14481624316371497,-0.06791131628203229,-0.07812607550256377,0.020685699674540856,0.1555177201824304,0.09318625271805402,0.03954774890161604,-0.05070879147328568,-0.0896594557486463,-0.0029432246838391853,-0.026007658619306488,0.03509890838465435,-0.07027423762967173,-0.047326602532032594,0.0025878310460711097,0.01736459242635039,-0.018565904803512147,0.06041498029961115,0.04307670615668013,-0.035769616134593944,0.05949936405825581,0.09955577550155983,0.1489414895335822,0.07369017996481184,0.07620190285729694,-0.10040545713946546,-0.0417006007589945,-0.042650473915657024,0.04802009361349862,0.0011010438275069847,0.022924253415931028,0.0691870032088537,0.03879824320104718,-0.11442160368544525,0.06261679223977061,-0.04939053555972175,0.013260579579879755,0.023667495547662638,-0.026414061865121564,-0.08307950601588379,-0.2133580497323689,-0.11897396261882354,-0.003373484113288825,-0.13830447920560843,-0.08108584087387424,-0.008127246633962052,-0.060876772116108924,-0.02375531375497594,-0.1293854043823099,-0.002924664290655092,-0.0042926236503811445,-0.046689330979539305,-0.017939611528924444,0.04696323726037287
ctx-lh-caudalmiddlefrontal_1, nan,nan,nan,nan,-0.03413002384052695,-0.020854707117780043,-0.019157946974705024,0.025826880134169485,-0.09299331897516983,-0.20259145910595217,-0.18578773229960227,-0.07505670182172867,-0.12335433076325347,-0.1861301838323715,-0.06739229801376556,-0.019741466624222395,-0.09398864658758123,-0.007581045307840405,-0.0774810348165273,-0.2291355336780654,-0.15929878657882326,-0.13517368441415178,-0.03508967045278201,-0.0007520570468891946,-0.06844599946786585,-0.16732712665285052,-0.12095058381264205,-0.23397551141548442,-0.14399904662526644,-0.0897402132547188,-0.011967437041010508,-0.021135123811018095,-0.050238539528228834,-0.14006956711305862,-0.19109418001328654,-0.14324201657296945,-0.09034125230140033,-0.2751953114281153,-0.09186883508234664,-0.08921324100704164,-0.10241291070356272,-0.12988721464787686,-0.049962948233645825,-0.0832830250581141,-0.25161372381464886,-0.07963501284275754,-0.1151985344076508,-0.12988361040329308,-0.09225105900594273,-0.011414608841933006,0.035123806967423614,-0.07076956589921243,-0.06976540024547548,-0.10465023761517116,-0.09655007999565277,-0.1618115905571246,-0.1072815799803301,-0.18115719091420562,0.00980899551620515,-0.006337593937221818,0.0023596557918380426,-0.08942138508530498,-0.07349078261242616,-0.08159637731026471,-0.051394765562057736,-0.08686397678454265,-0.1703551099753817,-0.1612199439924137,-0.07533092649260403,-0.09219333681521939,-0.19737453701681668,-0.03861331294733815,-0.09150992992787972,-0.10137233145537337,-0.1620283580472898,-0.1296143310222462,-0.10307039293042887,-0.07909661039296328,-0.09086502617457635,-0.04860202387165852,-0.08933558103796044,-0.06013313472406334,-0.0806952832349264,-0.15139672016648312,-0.12089953726761858,-0.1488055602472885,-0.16569644254331192,-0.08177889907344117,-0.056612202776132964,-0.14456523289941856,-0.049439661718638006,0.0054442586577661475,-0.09225896830662958,-0.08400630880229247,-0.17582642230809176,-0.1983674204335271,-0.1448955133351406,-0.20437282625020123,-0.07117796636791009,-0.20143103781651062,-0.11274500262825149,-0.2081187558594219,-0.20804987545323303,-0.20226510517737087,-0.19207184338022076,-0.0538483125168845,-0.13479086901488288,-0.08254034264805443,-0.10487830368649892,-0.1615262784080572,-0.12053205505587516,-0.21610416440672972,-0.14884546970135196,-0.11347587496816519,-0.1627027985491441,-0.12203452296731382,-0.055067275174236034,-0.04907298110007556,-0.02443349542244324,-0.14468615310045113,-0.18618761436407189,-0.13753245051390026,-0.12074065087625835,-0.12993273813641573,-0.1608317407146682,-0.039499283500673915,-0.23734959130269848,-0.2428538562436432,-0.16551410815558107,-0.02704326719960244,-0.1643931832323746,-0.18599306553368972,-0.15060626583494804,-0.1804837903200781,-0.0422437376474463,-0.09804857570651196,-0.11379619419139246,-0.14285490599817235,-0.1581761950937295,-0.2227843898868444,-0.1372312247036268,-0.16773087730778477,-0.03174573948379859,-0.08499869465272777,-0.08720833285713384,-0.17426975370377096,-0.12046575115432637,-0.11540416759623054,-0.05521657280576195,-0.1839898748580501,-0.13948549836510646,-0.0874999711418305,-0.057253092652172086,-0.21599481334332957,-0.06509781726106725,-0.01489433435369241,-0.16112653363132548,-0.08320224636711636,-0.13567079055424175,-0.03180623957722579,-0.05292830758698764,-0.22758866791870255,-0.051067168033602846,-0.06010935397946507,-0.20464464882731004,-0.1528224580746856,-0.12499358648746153,-0.1452981862079966,-0.04934814293311583,-0.23238394749787541,-0.14113502436000888,-0.14178664827104057,-0.08814087309111569,-0.121522555095126,-0.17966958529933752,-0.1129753571128138,-0.060833684644250305,-0.12993606214881334,-0.14278422054054288,-0.1693383820403767,-0.11166991926300744,-0.12600278385987443,-0.08679529746533779,-0.03648969737411862,-0.12118879174370312,-0.10160088364745642,-0.12665946778953982,-0.07607457823731101,0.07731463293907913,-0.13252228845398914,-0.0871783638440567,-0.15678939247298992,-0.20181601452744014,-0.2000301435654018,-0.09285604803712787,-0.11660208021243196,-0.13476297047235214,-0.18567005170181972,-0.15199440037580114,-0.06947499440514926,-0.15684852682815625,-0.07900209566324848,-0.1395068041256788,-0.12900164669584435,-0.23803950558453238,-0.21099493758762522,-0.17391531328321252,-0.10838364144478066,-0.14883761628466377,-0.11230855074570575,-0.10979513938854724,-0.14811727178597786,-0.1320800438617874,-0.006750921711755566,-0.003447034989635194,-0.11908765825476345,-0.11316388254082174,-0.18024443768540918,-0.10218225642567864
