,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-lh-BA1_3,,-0.12,0.009,-0.091,-0.004,-0.028,-0.011,-0.084,-0.065,0.101,0.077,0.114,0.088,-0.139,-0.17,0.076,0.026,-0.057,-0.152,0.146,0.047,-0.088,-0.003,-0.074,-0.044,-0.018,0.012,-0.058,-0.01,-0.071,0.064,-0.006,0.021,0.001,-0.063,0.002,0.02,-0.148,-0.005,-0.03,-0.157,0.01,-0.107,0.065,-0.048,0.006,-0.09,-0.051,0.045,0.092,0.134,0.033,-0.125,-0.119,0.015,-0.016,-0.016,-0.085,-0.114,0.138,-0.07,-0.084,-0.104,-0.026,0.052,0.015,0.076,-0.047,-0.111,0.094,-0.076,0.048,-0.039,-0.041,0.083,0.018,-0.192,0.001
ctx-lh-BA2,,,-0.0,-0.013,0.003,0.056,-0.056,-0.076,-0.016,0.087,0.128,0.116,0.123,-0.136,-0.11,0.017,-0.073,-0.088,-0.167,0.149,0.036,-0.096,-0.009,-0.088,-0.015,0.02,0.096,-0.033,0.014,-0.007,0.037,-0.034,0.097,-0.016,0.047,0.086,0.005,-0.183,-0.006,-0.076,-0.081,-0.014,0.017,0.047,-0.021,-0.016,-0.134,-0.008,0.046,0.084,0.147,0.08,-0.139,-0.116,-0.028,-0.092,-0.049,-0.126,-0.038,0.1,-0.106,-0.149,-0.058,-0.024,0.047,0.097,0.055,-0.044,-0.113,0.008,-0.063,0.08,-0.027,-0.03,0.125,-0.01,-0.138,0.05
ctx-lh-BA4,,,,-0.078,-0.052,-0.0,0.03,-0.029,-0.038,0.129,0.114,0.076,0.082,-0.133,-0.131,0.026,0.017,-0.062,-0.107,0.153,0.07,-0.059,-0.022,-0.107,-0.062,0.014,0.077,-0.168,-0.014,-0.037,0.079,-0.059,0.014,-0.068,-0.129,0.035,0.061,-0.142,0.085,-0.074,-0.146,-0.037,-0.06,0.024,-0.032,-0.014,-0.124,-0.032,0.11,0.056,0.065,0.043,-0.116,-0.09,-0.032,-0.012,-0.014,-0.095,-0.096,0.126,-0.095,-0.105,-0.099,-0.063,0.076,0.013,0.118,-0.056,-0.081,0.084,-0.117,0.079,-0.088,-0.12,0.089,0.064,-0.117,0.078
ctx-lh-BA5,,,,,0.02,-0.107,0.125,0.027,0.086,0.079,0.174,-0.004,-0.068,-0.288,-0.279,0.091,0.069,0.008,-0.093,0.062,0.016,-0.075,-0.061,-0.11,0.004,-0.005,0.014,-0.142,-0.012,-0.15,0.115,0.092,0.199,0.019,-0.054,0.069,0.112,-0.027,0.072,-0.089,-0.117,-0.03,-0.063,0.027,-0.129,0.117,0.001,0.062,-0.025,0.083,0.109,-0.119,-0.26,-0.229,0.054,0.126,0.042,-0.026,-0.042,0.071,-0.096,-0.196,-0.172,0.064,0.098,0.04,0.016,-0.074,-0.174,0.067,0.045,0.124,0.043,-0.089,0.059,0.131,0.038,0.113
ctx-lh-BA6,,,,,,0.017,0.016,-0.004,0.094,0.074,0.15,-0.013,0.066,0.004,-0.073,-0.029,-0.054,-0.001,-0.111,0.093,0.036,-0.037,-0.011,-0.087,-0.021,0.042,0.101,0.026,-0.124,0.016,-0.087,-0.116,-0.016,-0.043,-0.056,0.029,0.107,-0.022,0.116,0.03,0.028,0.002,0.028,0.022,-0.027,0.063,-0.015,0.15,0.056,0.082,0.057,0.041,-0.073,-0.068,-0.158,-0.028,0.044,-0.113,-0.03,0.045,-0.067,-0.029,-0.09,-0.047,0.115,0.078,0.141,-0.094,-0.048,0.045,-0.176,0.035,0.015,-0.025,0.029,0.077,-0.049,0.1
ctx-lh-BA7,,,,,,,0.031,0.056,0.083,0.062,0.068,-0.02,-0.023,-0.131,-0.182,-0.096,-0.107,0.008,-0.034,0.1,0.063,0.018,-0.091,-0.106,-0.011,0.104,0.094,-0.079,-0.203,-0.121,-0.141,-0.032,0.087,0.134,0.042,0.015,-0.027,-0.07,-0.005,0.0,0.007,0.009,0.037,0.067,-0.066,0.141,0.142,0.164,-0.022,-0.016,0.01,-0.052,-0.116,-0.111,-0.141,0.067,0.104,-0.071,0.108,-0.008,-0.024,-0.07,-0.068,-0.042,0.164,0.217,-0.011,-0.129,-0.058,-0.122,-0.021,0.039,0.168,0.018,-0.035,0.005,0.02,0.049
ctx-lh-BA8,,,,,,,,0.066,0.01,0.002,0.031,-0.107,-0.052,0.096,0.074,-0.024,0.022,-0.021,0.11,-0.018,-0.007,0.081,0.181,0.132,0.001,-0.022,0.034,0.037,-0.013,-0.057,0.066,0.013,-0.076,-0.091,-0.031,-0.072,-0.13,0.175,0.05,-0.074,-0.065,-0.044,0.003,0.004,0.016,-0.055,0.116,0.068,0.014,-0.001,-0.1,0.002,0.039,0.068,0.027,-0.013,-0.047,0.102,-0.008,0.006,0.076,0.153,0.006,0.019,-0.003,-0.093,0.048,-0.045,0.049,0.122,0.012,0.009,-0.109,-0.049,-0.029,-0.027,0.028,0.03
ctx-lh-BA9,,,,,,,,,0.081,0.055,0.034,-0.112,-0.016,0.084,0.11,0.107,0.059,-0.02,0.067,-0.039,0.054,0.002,0.093,0.102,-0.017,-0.002,0.095,-0.013,0.061,0.025,0.024,0.043,0.035,-0.058,-0.07,-0.04,-0.049,0.169,0.124,-0.124,-0.118,-0.111,-0.009,-0.071,0.028,-0.078,0.032,0.101,0.005,0.014,-0.093,-0.008,0.027,0.013,0.006,0.013,-0.113,0.073,-0.005,-0.023,-0.01,0.177,-0.02,-0.052,-0.045,-0.082,0.046,-0.014,0.027,0.029,-0.023,0.059,-0.131,-0.15,0.005,-0.074,0.021,0.019
ctx-lh-BA10,,,,,,,,,,0.021,0.083,0.016,-0.073,0.021,0.085,0.007,0.035,-0.018,-0.035,0.025,-0.029,-0.087,0.035,0.093,-0.096,0.031,0.026,-0.082,0.043,0.079,0.056,-0.019,0.03,-0.026,-0.044,0.116,0.107,0.259,0.186,-0.157,-0.044,-0.062,0.068,0.006,0.054,-0.124,-0.052,0.012,0.023,0.066,-0.094,-0.004,0.089,0.01,-0.035,-0.122,-0.116,-0.03,0.044,-0.023,-0.046,0.156,0.016,-0.106,-0.08,-0.039,0.107,0.037,0.082,0.044,-0.071,0.017,-0.087,-0.05,0.027,0.081,0.051,0.137
ctx-lh-BA11,,,,,,,,,,,-0.003,0.048,-0.014,-0.027,0.027,-0.017,-0.014,-0.129,-0.086,-0.13,-0.148,-0.199,0.008,0.101,-0.119,-0.088,0.045,-0.167,0.072,-0.026,-0.005,0.062,0.03,-0.029,0.063,0.026,-0.077,0.08,-0.016,-0.026,0.03,0.03,-0.024,-0.03,0.019,-0.047,0.014,-0.018,-0.092,0.078,0.017,-0.0,0.005,-0.068,-0.053,-0.142,-0.229,-0.108,-0.129,-0.066,-0.138,0.053,-0.074,-0.064,-0.121,-0.018,0.149,0.011,-0.014,-0.063,0.006,0.033,-0.144,0.051,-0.016,-0.11,-0.026,-0.087
