,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.02,-0.023,0.049,-0.013,0.045,0.007,-0.084,-0.035,-0.093,-0.108,-0.047,-0.153,0.104,-0.056,-0.113,0.092,0.077,0.056,0.049,-0.101,-0.145,0.09,-0.136,-0.19,-0.049,0.046,0.051,-0.095,-0.163,-0.002,-0.037,-0.016,0.095,-0.083,-0.098,-0.049,0.039,0.026,-0.042,-0.065,-0.118,-0.02,-0.053,-0.011,-0.041,0.065,-0.017,0.066,0.054,-0.053,-0.014,-0.037,-0.125,-0.015,-0.053,-0.056,-0.061,-0.105,0.066,0.059,0.052,0.022,-0.074,-0.14,0.123,-0.102,-0.092,-0.082,-0.003,0.038,-0.096,-0.12,-0.108,-0.109,-0.038,0.06,-0.137,-0.088,-0.116,0.017,0.088,-0.017,-0.129,-0.134,-0.037
ctx-lh-FB,,,-0.03,0.006,0.015,0.124,0.058,-0.029,-0.041,-0.044,-0.106,-0.027,-0.153,0.05,-0.096,-0.208,-0.029,-0.052,0.006,0.052,-0.103,-0.138,0.071,-0.166,-0.184,-0.035,-0.029,-0.018,-0.01,-0.054,0.044,-0.069,-0.001,0.054,-0.081,-0.103,-0.035,0.054,-0.025,-0.082,-0.035,-0.121,-0.066,0.005,-0.039,-0.009,0.013,0.032,0.078,0.047,-0.044,0.008,-0.043,-0.095,0.0,-0.09,-0.109,-0.022,-0.162,-0.045,-0.022,-0.003,-0.053,-0.091,-0.132,0.107,-0.174,-0.117,-0.067,-0.076,-0.052,-0.005,-0.031,0.025,-0.084,-0.036,-0.009,-0.126,-0.087,-0.046,-0.017,0.04,-0.071,-0.072,-0.164,-0.03
ctx-lh-FC,,,,-0.065,-0.022,0.041,-0.011,0.022,-0.065,-0.008,-0.019,-0.009,-0.061,0.121,-0.1,-0.151,-0.084,-0.098,-0.04,0.072,0.001,0.01,0.009,-0.053,-0.042,0.002,-0.023,-0.011,-0.014,0.008,0.024,-0.104,-0.065,-0.053,-0.044,-0.05,-0.015,0.108,-0.022,-0.1,-0.006,-0.121,-0.015,0.015,-0.045,0.116,-0.076,0.092,0.005,0.014,-0.002,0.031,0.001,-0.007,-0.011,0.004,-0.002,0.026,-0.134,-0.108,-0.073,-0.031,-0.056,0.029,0.008,0.126,-0.017,0.02,-0.023,-0.05,-0.037,-0.027,0.035,0.049,-0.048,-0.042,-0.082,-0.081,-0.069,0.01,-0.03,-0.024,-0.048,-0.012,-0.166,-0.003
ctx-lh-FCBm,,,,,-0.037,-0.022,0.064,-0.027,-0.064,-0.001,-0.016,-0.025,-0.003,0.063,-0.104,-0.16,-0.115,-0.029,-0.079,-0.022,-0.057,-0.034,-0.019,-0.145,-0.146,-0.109,-0.127,-0.1,-0.009,0.063,0.079,-0.071,-0.058,-0.021,-0.063,-0.144,-0.032,0.051,-0.069,-0.085,0.015,-0.107,-0.006,0.068,-0.038,-0.046,-0.027,-0.009,-0.036,0.055,0.002,0.032,0.034,0.001,-0.059,0.012,-0.047,0.038,-0.127,-0.147,-0.03,-0.076,-0.135,-0.063,-0.033,0.058,-0.147,-0.078,-0.098,-0.112,-0.085,0.035,0.072,0.082,-0.062,-0.066,-0.091,-0.065,-0.093,-0.021,-0.012,0.003,-0.085,-0.005,-0.119,0.007
ctx-lh-FD,,,,,,0.042,-0.039,-0.033,-0.108,-0.023,-0.058,-0.02,-0.085,0.114,-0.052,-0.132,-0.042,-0.037,-0.065,0.073,-0.072,-0.035,-0.005,-0.076,-0.071,-0.016,-0.047,-0.012,0.012,0.027,0.006,-0.058,-0.048,-0.049,-0.073,-0.033,-0.068,0.138,-0.071,-0.061,-0.034,-0.068,-0.011,0.015,-0.045,-0.005,-0.077,0.013,-0.03,-0.004,-0.051,-0.004,0.015,-0.083,-0.029,-0.003,0.031,0.063,-0.155,-0.082,-0.062,-0.062,-0.075,-0.055,-0.079,0.051,-0.062,-0.04,-0.009,-0.045,-0.011,-0.009,0.03,0.048,-0.041,-0.056,-0.108,-0.11,-0.059,-0.011,-0.014,-0.004,-0.064,-0.062,-0.095,-0.018
ctx-lh-FDdelta,,,,,,,0.059,0.025,0.038,0.059,0.03,0.101,-0.029,0.157,0.025,-0.09,0.04,0.045,0.09,0.155,0.007,-0.007,-0.039,0.027,-0.016,-0.021,-0.11,-0.034,0.054,0.066,0.061,-0.037,0.001,0.062,0.025,0.02,0.05,0.14,0.021,-0.048,0.056,-0.025,0.063,0.067,0.061,0.007,-0.071,0.053,0.006,0.059,-0.032,0.086,0.082,0.032,0.094,0.085,0.022,0.135,-0.061,-0.004,0.046,0.063,0.036,-0.011,0.012,0.087,0.037,-0.074,-0.007,-0.067,-0.025,0.122,0.107,0.128,-0.02,-0.011,-0.052,-0.031,-0.04,0.074,0.071,0.078,-0.001,0.023,-0.03,0.091
ctx-lh-FDT,,,,,,,,-0.058,-0.04,-0.114,-0.081,-0.006,-0.059,0.098,-0.058,-0.149,-0.013,0.021,-0.042,0.022,-0.114,-0.073,0.027,-0.192,-0.151,-0.077,-0.111,-0.067,-0.017,0.039,0.035,-0.002,-0.029,-0.03,-0.071,-0.087,-0.072,0.122,-0.044,-0.034,-0.028,-0.105,0.002,0.016,0.0,-0.034,0.041,-0.023,-0.032,0.109,-0.041,-0.005,-0.027,-0.119,-0.064,-0.041,0.048,0.065,-0.15,-0.045,-0.019,-0.038,-0.06,-0.08,-0.076,0.035,-0.157,-0.063,-0.046,-0.079,-0.043,-0.052,0.042,0.025,0.007,-0.052,-0.043,-0.052,-0.061,-0.03,-0.002,0.012,-0.046,-0.02,-0.081,0.02
ctx-lh-FE,,,,,,,,,-0.037,-0.081,-0.124,-0.071,-0.038,0.077,-0.139,-0.066,-0.017,-0.062,-0.058,0.016,-0.077,-0.055,-0.03,-0.085,-0.096,-0.032,-0.044,-0.009,-0.017,-0.059,-0.031,-0.019,-0.023,-0.015,0.002,-0.038,-0.125,0.024,-0.096,-0.101,0.003,-0.052,-0.07,-0.05,-0.067,0.03,-0.071,-0.01,-0.006,-0.039,-0.039,0.01,-0.022,-0.111,-0.033,-0.024,0.102,-0.042,-0.076,-0.084,-0.058,-0.081,-0.096,-0.022,-0.053,0.004,-0.041,-0.034,-0.009,-0.047,-0.013,-0.048,-0.052,-0.043,-0.026,-0.022,-0.061,-0.004,-0.061,-0.051,-0.023,-0.021,-0.093,0.003,-0.061,-0.06
ctx-lh-FF,,,,,,,,,,-0.083,-0.076,-0.016,-0.037,0.049,-0.074,-0.123,-0.032,-0.062,-0.094,-0.035,-0.201,-0.166,-0.067,-0.165,-0.215,-0.121,-0.114,-0.069,-0.068,-0.079,0.0,-0.008,-0.094,-0.081,-0.125,-0.118,-0.087,0.068,-0.093,-0.088,-0.081,-0.066,-0.009,-0.059,-0.061,-0.046,-0.061,-0.105,-0.025,-0.018,-0.081,-0.062,0.018,-0.104,-0.04,-0.106,0.042,0.027,-0.104,-0.075,-0.028,-0.099,-0.107,-0.151,-0.116,-0.104,-0.109,-0.154,-0.112,-0.136,-0.064,-0.044,-0.073,-0.017,0.002,-0.096,-0.114,-0.105,-0.117,-0.045,-0.049,-0.002,-0.137,-0.081,-0.108,-0.041
ctx-lh-FG,,,,,,,,,,,-0.117,-0.053,-0.069,0.022,-0.103,0.016,-0.011,-0.007,-0.034,-0.027,-0.073,-0.043,0.031,-0.077,-0.05,-0.019,-0.029,-0.014,-0.111,-0.097,-0.031,-0.01,-0.014,-0.016,-0.033,-0.048,-0.095,0.119,-0.018,-0.051,-0.075,-0.072,-0.065,-0.101,-0.042,0.053,0.04,0.012,-0.017,0.009,-0.079,-0.059,-0.081,-0.083,-0.038,-0.118,-0.067,-0.098,-0.063,-0.045,-0.063,-0.048,-0.014,0.031,-0.041,0.025,-0.05,-0.032,-0.009,-0.057,-0.012,-0.183,-0.155,-0.082,-0.055,-0.051,-0.033,0.017,-0.045,-0.046,-0.053,-0.005,-0.046,-0.034,-0.078,-0.072
