,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,-0.043,-0.086,-0.067,-0.209,-0.117,0.04,0.03,0.004,-0.138,0.016,-0.077,-0.014,-0.043,-0.111,-0.013,-0.065,0.058,-0.057,0.029,0.022,-0.006,-0.003,0.084,0.103,-0.03,0.11,-0.013,0.022,-0.084,0.046,-0.136,-0.015,0.016
ctx-lh-frontal,,,-0.043,-0.018,0.076,0.03,-0.062,0.135,0.011,-0.122,0.051,-0.123,-0.027,0.103,0.168,0.164,-0.132,-0.079,0.013,-0.091,0.027,0.11,-0.032,-0.019,0.169,0.127,-0.059,-0.011,-0.18,-0.033,0.053,-0.037,0.041,-0.109
ctx-lh-inter_precentral,,,,-0.144,-0.115,-0.094,0.037,0.046,0.074,-0.119,-0.013,-0.235,0.046,0.027,0.203,0.201,-0.14,-0.127,0.031,-0.159,-0.101,-0.077,-0.099,0.028,0.042,0.132,-0.203,-0.083,-0.367,0.002,0.109,0.07,0.118,-0.175
ctx-lh-precentral,,,,,-0.269,-0.218,-0.05,-0.107,-0.016,-0.183,-0.145,-0.142,0.066,-0.115,-0.04,-0.015,0.042,-0.057,0.102,-0.113,-0.346,-0.362,-0.344,-0.013,-0.176,0.003,-0.138,-0.154,-0.243,0.073,0.02,0.023,0.039,0.081
ctx-lh-postcentral,,,,,,-0.299,0.014,-0.157,-0.011,-0.201,-0.188,-0.096,0.049,-0.181,-0.16,-0.085,0.257,-0.113,0.167,0.07,-0.375,-0.471,-0.307,-0.0,-0.312,-0.126,-0.152,-0.224,-0.122,0.131,-0.039,-0.097,-0.069,0.246
ctx-lh-inter_postcentral,,,,,,,-0.079,-0.234,-0.075,-0.098,-0.158,-0.123,0.053,0.004,-0.068,-0.02,0.189,-0.103,0.066,-0.038,-0.217,-0.278,-0.198,-0.077,-0.3,-0.123,-0.172,-0.249,-0.185,0.123,0.143,0.041,-0.024,0.125
ctx-lh-parietal,,,,,,,,-0.094,0.041,-0.02,0.155,0.112,-0.065,0.031,-0.094,0.16,0.144,-0.047,-0.135,-0.003,-0.092,-0.085,-0.152,-0.042,-0.074,0.007,-0.189,0.161,0.022,-0.024,-0.047,-0.081,-0.012,0.162
ctx-lh-visuopsychic,,,,,,,,,-0.056,0.158,-0.07,0.061,0.016,0.015,-0.009,-0.099,0.191,0.07,0.186,0.046,-0.132,-0.172,-0.231,-0.132,-0.389,-0.099,0.17,-0.126,0.232,0.159,0.097,0.075,-0.018,0.177
ctx-lh-visuosensory,,,,,,,,,,0.118,-0.047,-0.037,0.016,0.006,0.025,-0.139,0.21,0.029,0.031,0.035,-0.04,-0.07,-0.051,-0.037,-0.059,-0.151,0.204,-0.037,0.08,0.242,0.056,0.184,-0.078,0.184
ctx-lh-temporal,,,,,,,,,,,0.05,-0.038,0.105,-0.054,-0.087,0.102,-0.009,-0.107,-0.057,-0.099,-0.102,-0.127,-0.135,-0.122,0.113,0.124,-0.058,-0.087,-0.015,0.003,-0.053,-0.107,0.071,0.006
ctx-lh-audiopsychic,,,,,,,,,,,,-0.364,0.019,0.007,0.025,-0.053,0.148,-0.041,0.038,-0.073,-0.129,-0.282,-0.185,0.01,-0.19,-0.141,-0.195,-0.541,-0.433,-0.027,0.053,-0.044,-0.126,0.131
ctx-lh-audiosensory,,,,,,,,,,,,,-0.009,-0.231,-0.041,-0.165,0.109,-0.021,0.07,-0.073,-0.092,-0.126,-0.071,0.091,-0.026,-0.114,0.089,-0.366,-0.237,-0.004,-0.108,-0.102,-0.086,0.109
ctx-lh-olfactory,,,,,,,,,,,,,,-0.166,0.043,-0.156,-0.056,-0.067,-0.005,0.096,0.044,0.074,0.066,-0.109,-0.046,0.0,-0.017,0.109,-0.035,0.04,-0.159,-0.069,-0.007,0.01
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.137,-0.037,-0.048,-0.11,0.018,-0.037,-0.107,-0.076,0.059,0.015,0.116,-0.008,0.05,-0.025,-0.17,-0.251,-0.157,-0.112,-0.115,-0.062
ctx-lh-limbicB,,,,,,,,,,,,,,,,-0.118,0.151,-0.093,0.119,0.123,-0.062,-0.078,-0.046,-0.035,0.114,0.077,0.082,-0.089,-0.005,0.087,-0.164,0.062,-0.138,-0.113
ctx-lh-limbicC,,,,,,,,,,,,,,,,,0.031,-0.036,0.049,-0.009,-0.124,-0.044,0.054,0.076,0.052,-0.091,0.117,0.059,-0.066,-0.184,-0.156,-0.093,-0.19,0.048
ctx-lh-insula,,,,,,,,,,,,,,,,,,-0.074,-0.192,-0.043,0.121,0.255,0.214,0.204,0.159,0.176,-0.086,0.115,0.058,-0.126,-0.027,-0.08,0.025,-0.216
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,-0.176,-0.143,-0.079,0.068,0.066,-0.038,0.18,0.082,0.032,0.013,0.016,0.006,-0.162,-0.12,-0.112,-0.085
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,-0.086,0.137,0.185,0.101,-0.008,0.169,0.142,-0.089,0.069,-0.001,-0.024,-0.018,-0.013,-0.053,-0.2
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.04,0.09,0.031,0.055,-0.014,0.019,-0.116,-0.063,-0.234,0.041,-0.03,-0.042,-0.111,-0.185
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.341,-0.108,-0.009,-0.217,-0.095,-0.055,-0.158,-0.22,0.043,0.024,-0.018,-0.08,0.12
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.273,-0.006,-0.246,-0.076,-0.012,-0.199,-0.169,0.159,0.114,-0.1,-0.05,0.232
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,-0.136,-0.25,-0.089,-0.059,-0.248,-0.127,0.1,0.175,0.049,0.035,0.152
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,-0.158,-0.056,-0.136,0.032,0.085,0.062,0.002,-0.074,-0.007,0.208
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,-0.059,0.149,-0.141,0.14,0.093,0.144,0.152,0.076,0.095
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148,-0.094,0.032,0.215,0.018,0.101,-0.019,0.232
