,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-lh-BA1_3,,-0.349,-0.31,-0.288,0.047,-0.054,-0.061,0.041,0.014,-0.001,0.191,0.09,0.238,0.001,-0.101,-0.023,-0.255,-0.266,-0.378,0.127,-0.058,-0.233,-0.167,-0.126,-0.115,0.033,0.001,0.029,-0.006,-0.188,-0.036,-0.303,0.132,-0.209,-0.185,0.189,0.021,-0.016,0.002,-0.315,-0.346,-0.373,-0.17,0.1,-0.016,0.07,0.066,0.109,-0.028,0.206,0.077,0.226,-0.07,-0.164,-0.002,-0.145,-0.193,-0.231,0.171,-0.092,-0.276,-0.19,-0.19,0.017,0.12,-0.001,-0.096,-0.009,-0.133,0.034,-0.171,0.265,-0.235,-0.14,0.312,0.164,0.148,0.063
ctx-lh-BA2,,,-0.255,-0.171,0.043,0.032,-0.167,-0.076,-0.093,-0.028,0.152,0.082,0.197,0.009,-0.071,0.057,-0.259,-0.351,-0.354,0.082,-0.087,-0.211,-0.058,-0.096,-0.154,-0.009,0.124,-0.042,0.062,-0.055,-0.076,-0.247,0.035,-0.236,-0.085,0.118,-0.034,-0.059,-0.084,-0.367,-0.264,-0.211,-0.052,0.103,0.015,-0.093,-0.044,0.015,-0.046,0.114,0.072,0.205,-0.043,-0.145,-0.015,-0.286,-0.304,-0.251,0.198,-0.058,-0.262,-0.049,-0.046,-0.009,0.047,-0.025,-0.043,0.029,-0.033,-0.053,-0.183,0.145,-0.289,-0.079,0.24,0.079,0.194,-0.055
ctx-lh-BA4,,,,-0.272,-0.015,-0.082,-0.124,-0.044,0.045,0.033,0.069,0.046,0.263,0.06,-0.051,0.074,-0.213,-0.257,-0.294,0.099,-0.131,-0.136,-0.103,-0.09,-0.086,0.075,0.125,0.011,0.093,-0.066,-0.011,-0.236,-0.025,-0.329,-0.206,0.012,-0.079,-0.108,-0.023,-0.339,-0.244,-0.293,-0.185,0.001,-0.106,-0.009,-0.008,0.119,0.037,0.084,0.002,0.265,0.043,-0.099,0.066,-0.1,-0.228,-0.205,0.161,-0.042,-0.215,-0.072,-0.169,-0.018,0.125,0.054,-0.011,0.015,-0.018,0.048,-0.153,0.119,-0.334,-0.145,0.121,0.044,0.091,0.024
ctx-lh-BA5,,,,,-0.065,0.034,-0.063,-0.049,0.04,0.023,0.055,-0.01,0.219,0.008,-0.032,0.056,-0.16,-0.354,-0.275,0.023,-0.075,-0.193,-0.148,-0.051,-0.092,-0.016,0.029,0.006,0.154,0.017,-0.094,-0.035,-0.014,-0.328,-0.303,0.004,-0.047,0.074,-0.003,-0.334,-0.146,-0.359,-0.202,-0.003,-0.038,-0.04,0.03,0.088,0.018,0.08,-0.055,0.261,0.035,-0.079,0.011,-0.085,-0.214,-0.141,0.008,-0.054,-0.178,-0.066,-0.075,0.006,0.036,0.024,0.013,0.018,0.028,0.001,0.027,0.147,-0.254,-0.187,0.118,0.086,0.167,0.002
ctx-lh-BA6,,,,,,0.006,-0.14,-0.096,0.013,0.061,-0.048,-0.046,0.192,0.152,0.146,-0.018,-0.235,0.013,-0.102,0.152,-0.118,0.016,0.001,-0.021,0.102,0.086,0.089,-0.049,0.012,0.075,-0.079,-0.223,-0.106,-0.212,0.044,-0.018,-0.122,-0.267,-0.062,-0.044,-0.007,-0.076,-0.05,0.022,0.01,-0.148,-0.086,0.025,-0.012,0.007,-0.017,0.273,0.196,0.145,-0.078,-0.188,0.008,-0.101,0.183,-0.024,-0.096,0.066,-0.049,0.016,0.112,0.091,0.003,0.003,0.09,-0.072,-0.232,0.012,-0.14,0.046,0.037,-0.07,-0.093,-0.108
ctx-lh-BA7,,,,,,,-0.034,-0.047,0.025,0.024,-0.005,0.076,-0.018,-0.041,0.03,-0.028,-0.064,-0.141,-0.05,0.121,-0.013,0.025,-0.089,0.026,0.085,0.061,0.125,-0.098,0.066,0.076,-0.083,0.017,0.018,0.005,-0.012,-0.024,0.001,-0.059,0.025,-0.042,-0.07,-0.146,0.05,-0.001,-0.063,-0.086,-0.085,-0.006,0.109,-0.014,0.11,0.097,-0.013,0.022,0.008,-0.075,-0.016,-0.037,0.125,-0.044,0.019,-0.024,0.055,0.046,0.08,0.027,-0.031,0.084,0.065,-0.025,-0.048,0.067,-0.001,0.022,-0.04,-0.054,0.017,-0.025
ctx-lh-BA8,,,,,,,,0.002,-0.032,0.105,-0.02,-0.117,-0.011,0.086,0.013,-0.008,-0.038,0.075,0.166,0.057,0.078,0.146,0.09,0.085,0.127,0.008,-0.002,-0.124,0.067,0.1,0.057,-0.049,-0.029,-0.231,-0.037,-0.012,0.06,-0.056,0.045,-0.065,-0.114,-0.079,-0.161,-0.098,-0.105,-0.006,0.037,0.074,-0.015,0.029,-0.134,0.037,0.152,0.06,0.066,0.022,0.019,0.073,0.085,0.151,0.135,0.136,0.009,0.061,0.04,0.011,0.022,0.042,0.014,0.115,-0.023,-0.061,-0.146,-0.06,0.097,0.097,-0.035,0.107
ctx-lh-BA9,,,,,,,,,-0.039,0.055,-0.024,-0.111,0.069,0.128,0.087,0.067,-0.077,0.127,0.099,-0.059,0.025,0.057,0.066,0.087,0.122,-0.034,-0.054,-0.003,-0.019,0.034,0.031,-0.015,-0.062,-0.134,-0.03,0.048,0.043,-0.039,-0.042,0.089,-0.006,0.013,-0.098,-0.095,-0.09,-0.017,0.034,-0.026,-0.036,-0.046,-0.148,0.124,0.126,0.123,0.036,-0.003,0.059,0.028,0.042,0.101,0.091,0.085,-0.013,0.014,0.01,-0.027,0.03,0.016,-0.049,0.103,-0.032,-0.11,-0.074,0.011,0.037,0.042,-0.065,0.03
ctx-lh-BA10,,,,,,,,,,-0.049,0.092,-0.03,0.06,0.036,0.083,-0.011,-0.009,0.145,0.139,0.075,0.033,0.068,0.052,-0.041,0.175,0.089,0.048,-0.092,-0.032,-0.016,-0.104,0.035,0.06,-0.001,-0.0,0.073,0.087,0.038,-0.057,0.08,0.057,0.121,0.025,0.052,-0.022,-0.029,0.051,-0.07,-0.066,-0.006,-0.044,-0.029,-0.028,0.053,-0.092,-0.032,0.081,0.055,0.094,0.055,0.053,0.004,-0.039,0.068,0.124,0.042,-0.106,-0.122,-0.154,-0.04,0.017,-0.033,0.032,-0.02,0.057,0.043,0.012,-0.047
ctx-lh-BA11,,,,,,,,,,,0.007,-0.038,-0.03,-0.027,0.051,-0.096,-0.042,0.011,0.119,-0.116,0.051,0.021,-0.019,-0.056,0.05,-0.051,-0.086,-0.039,-0.105,-0.004,-0.14,0.083,0.059,-0.009,0.034,0.042,0.007,0.053,0.006,0.028,0.053,0.08,-0.031,0.119,0.017,0.116,0.055,-0.016,-0.044,-0.01,-0.056,-0.095,-0.051,0.016,-0.14,-0.011,-0.031,0.074,-0.06,0.006,0.056,0.008,-0.028,0.098,-0.01,-0.025,-0.04,-0.106,-0.096,-0.136,0.058,0.026,-0.005,-0.03,0.018,0.073,-0.015,0.003
